127.0.0.1 - - [22/Jun/2023:08:12:03 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:12:04 -0500] "GET /Biblioteca_Project/registrarPrestamo.jsp HTTP/1.1" 500 3424
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:12:04 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:12:45 -0500] "GET /Biblioteca_Project/registrarPrestamo.jsp HTTP/1.1" 200 6937
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:12:53 -0500] "GET /Biblioteca_Project/LibroServlet?listaLibros&action=listar HTTP/1.1" 200 9238
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:12:55 -0500] "GET /Biblioteca_Project/registrarLibro.jsp HTTP/1.1" 200 6735
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:13:14 -0500] "GET /Biblioteca_Project/LibroServlet?listaLibros&action=listar HTTP/1.1" 200 9238
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:13:15 -0500] "GET /Biblioteca_Project/LibroServlet?listaLibros&action=listar HTTP/1.1" 200 9238
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:13:16 -0500] "GET /Biblioteca_Project/LibroServlet?listaLibros&action=listar HTTP/1.1" 200 9238
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:13:17 -0500] "GET /Biblioteca_Project/registrarLibro.jsp HTTP/1.1" 200 6527
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:14:25 -0500] "GET /Biblioteca_Project/registrarLibro.jsp HTTP/1.1" 200 6735
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:14:31 -0500] "GET /Biblioteca_Project/PrestamoServlet?listaPrestamos&action=listar HTTP/1.1" 200 7595
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:14:33 -0500] "GET /Biblioteca_Project/registrarPrestamo.jsp HTTP/1.1" 200 6937
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:17:50 -0500] "GET /Biblioteca_Project/registrarPrestamo.jsp HTTP/1.1" 200 7721
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:18:22 -0500] "GET /Biblioteca_Project/registrarPrestamo.jsp HTTP/1.1" 200 7486
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:18:55 -0500] "GET /Biblioteca_Project/registrarPrestamo.jsp HTTP/1.1" 200 7486
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:18:56 -0500] "GET /Biblioteca_Project/PrestamoServlet?listaPrestamos&action=listar HTTP/1.1" 200 7595
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:18:57 -0500] "GET /Biblioteca_Project/registrarPrestamo.jsp HTTP/1.1" 200 7486
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:19:04 -0500] "GET /Biblioteca_Project/AlumnoServlet?listaAlumnos&action=listar HTTP/1.1" 200 8839
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:19:07 -0500] "GET /Biblioteca_Project/registrarAlumno.jsp HTTP/1.1" 200 5579
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:19:11 -0500] "GET /Biblioteca_Project/AlumnoServlet?action=mostrar&id=ALU01 HTTP/1.1" 200 5947
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:19:16 -0500] "GET /Biblioteca_Project/PrestamoServlet?listaPrestamos&action=listar HTTP/1.1" 200 7595
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:19:18 -0500] "GET /Biblioteca_Project/listaEmpleados.jsp HTTP/1.1" 500 2849
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:19:20 -0500] "GET /Biblioteca_Project/LibroServlet?listaLibros&action=listar HTTP/1.1" 200 9238
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:19:23 -0500] "GET /Biblioteca_Project/LibroServlet?listaLibros&action=listar HTTP/1.1" 200 9238
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:19:25 -0500] "GET /Biblioteca_Project/listaEditorial.jsp HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Jun/2023:08:20:57 -0500] "GET /Biblioteca_Project/PrestamoServlet?listaPrestamos&action=listar HTTP/1.1" 200 7595
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:18:08 -0500] "GET /Biblioteca_Project/PrestamoServlet?listaPrestamos&action=listar HTTP/1.1" 200 7595
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:18:11 -0500] "GET /Biblioteca_Project/registrarPrestamo.jsp HTTP/1.1" 200 7438
0:0:0:0:0:0:0:1 - - [22/Jun/2023:09:18:40 -0500] "GET /Biblioteca_Project/registrarPrestamo.jsp?id=PRE04&idLibro=LIB04&fecpre=2023-06-22&fecdev=2023-06-30&estado=Prestado&idEditorial=ALU03&enviar=Registrar+Pr%C3%A9stamo HTTP/1.1" 200 7438
